taxon_id,scientific_name,common_name,rank,wikipedia_summary,wikipedia_url,kingdom,phylum,class,order,family,genus,conservation_status,conservation_status_source,threatened,endemic,native,introduced,observations_count,default_photo_url,photo_urls,iconic_taxon_name
165891,Opuntia macrorhiza,prairie pricklypear,species,"<i><b>Opuntia macrorhiza</b></i> is a common and widespread species of cactus with the common names <b>plains prickly pear</b> or <b>twistspine pricklypear</b> or <b>Western pricklypear</b>. It is found throughout the Great Plains of the United States, from Texas to Minnesota, as well as in the desert and Rocky Mountain states from Arizona to Idaho, with sporadic populations in the Mississippi and Ohio Valleys. It is also reported from northern Mexico, in the states of Chihuahua, Sonora, Coahuila, Nuevo...",https://en.wikipedia.org/wiki/Opuntia macrorhiza,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,,,False,False,False,False,9617,https://inaturalist-open-data.s3.amazonaws.com/photos/195720840/medium.jpg,"[None, None, None, None, None]",Plantae
202757,Cylindropuntia leptocaulis,Christmas cholla,species,"<i><b>Cylindropuntia leptocaulis</b></i>, the <b>desert Christmas cactus</b>, <b>desert Christmas cholla</b>, or <b>tasajillo</b>, is a cactus.",https://en.wikipedia.org/wiki/Cylindropuntia leptocaulis,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,,,False,False,False,False,20642,https://static.inaturalist.org/photos/72347546/medium.jpeg,"[None, None, None, None, None]",Plantae
274441,Cylindropuntia tunicata,Thistle Cholla,species,"<i><b>Cylindropuntia tunicata</b></i>, commonly referred to as <b>sheathed cholla</b>, is a cholla native to the Chihuahuan Desert of North America and parts of South America.",https://en.wikipedia.org/wiki/Cylindropuntia tunicata,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,,,False,False,False,False,1631,https://static.inaturalist.org/photos/2523165/medium.JPG,"[None, None, None, None, None]",Plantae
290831,Yucca filifera,tree yucca,species,<i><b>Yucca filifera</b></i> is a member of the Asparagaceae family subfamily Agavaceae native to central Mexico.,https://en.wikipedia.org/wiki/Yucca filifera,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,,,False,False,False,False,3545,https://inaturalist-open-data.s3.amazonaws.com/photos/65798314/medium.jpg,"[None, None, None, None, None]",Plantae
165906,Opuntia tomentosa,Woollyjoint Pricklypear,species,"<i><b>Opuntia tomentosa</b></i>, commonly called <b>woollyjoint pricklypear</b> or <b>velvety tree pear</b>, is a species of <i>Opuntia</i> found in Mexico",https://en.wikipedia.org/wiki/Opuntia tomentosa,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,,,False,False,False,False,5334,https://inaturalist-open-data.s3.amazonaws.com/photos/84464825/medium.jpg,"[None, None, None, None, None]",Plantae
243731,Acacia ampliceps,,species,<i><b>Acacia ampliceps</b></i> is a shrub or tree belonging to the genus <i>Acacia</i> and the subgenus <i>Phyllodineae</i>. It is native to an area in the Northern Territory and the Kimberley and Pilbara regions of Western Australia.,https://en.wikipedia.org/wiki/Acacia ampliceps,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,False,False,False,False,31,https://inaturalist-open-data.s3.amazonaws.com/photos/175211982/medium.jpeg,"[None, None, None, None, None]",Plantae
243732,Acacia sclerosperma,,species,"<i><b>Acacia sclerosperma</b></i>, commonly known as <b>limestone wattle</b> or <b>silver bark wattle</b>, is a tree in the family Fabaceae. Endemic to Western Australia, it occurs on floodplains and along water-courses throughout the arid north-west corner of the State.",https://en.wikipedia.org/wiki/Acacia sclerosperma,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,False,False,False,False,45,https://inaturalist-open-data.s3.amazonaws.com/photos/168129405/medium.jpeg,"[None, None, None, None, None]",Plantae
243733,Acacia ligulata,Dune Wattle,species,"<i><b>Acacia ligulata</b></i> is a species of <i>Acacia</i>, a dense shrub widespread in all states of mainland Australia. It is not considered rare or endangered.",https://en.wikipedia.org/wiki/Acacia ligulata,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,False,False,False,False,980,https://inaturalist-open-data.s3.amazonaws.com/photos/210451473/medium.jpg,"[None, None, None, None, None]",Plantae
81942,Penstemon digitalis,foxglove beardtongue,species,"<i><b>Penstemon digitalis</b></i> (<b>foxglove beard-tongue</b>, <b>foxglove beardtongue</b>, or <b>talus slope penstemon</b>) is a plant in the plantain family, Plantaginaceae. The flowers are white and are borne in summer. It is native to eastern Canada and eastern and southeastern United States.",https://en.wikipedia.org/wiki/Penstemon digitalis,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,,,False,False,False,False,30219,https://inaturalist-open-data.s3.amazonaws.com/photos/200036822/medium.jpeg,"[None, None, None, None, None]",Plantae
290852,Yucca madrensis,mountain yucca,species,"<i><b>Yucca madrensis</b></i> H. S. Gentry is a plant in the genus Yucca in the family Asparagaceae. It is native to a mountainous region in the Sierra Madre Occidental in the Mexican states of Sonora and Chihuahua. It has also been reported from Arizona It grows on steep, rocky slopes in pine-oak forests.",https://en.wikipedia.org/wiki/Yucca madrensis,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,,,False,False,False,False,1521,https://inaturalist-open-data.s3.amazonaws.com/photos/47872455/medium.jpeg,"[None, None, None, None, None]",Plantae
309284,Perdita larreae,,species,<i><b>Perdita larreae</b></i> is a species of bee in the family Andrenidae. It is found in Central America and North America.,https://en.wikipedia.org/wiki/Perdita larreae,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,,,False,False,False,False,4,https://inaturalist-open-data.s3.amazonaws.com/photos/319482576/medium.jpg,"[None, None]",Insecta
81962,Yucca angustissima,Narrowleaf Yucca,species,"<i><b>Yucca angustissima</b></i>, the <b>narrowleaf yucca</b>, is a plant in the family Agavaceae, known as the ""narrow-leaved yucca."" It is native to Arizona, New Mexico, Colorado and Utah, but grown elsewhere as an ornamental.",https://en.wikipedia.org/wiki/Yucca angustissima,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,,,False,False,False,False,3693,https://inaturalist-open-data.s3.amazonaws.com/photos/49082212/medium.jpg,"[None, None, None, None]",Plantae
77872,Lupinus littoralis,Seashore Lupine,species,"<i><b>Lupinus littoralis</b></i> is a species of lupine known by the common name <b>seashore lupine</b>. It is native to the coastline of western North America from British Columbia to northern California, where it grows in sandy habitat. It is a low perennial herb or subshrub growing in a clump or mat no more than 30 centimetres (12 in) tall. Each palmate leaf is divided into 5 to 9 leaflets up to 3.5 centimetres (1.4 in) long. The herbage is...",https://en.wikipedia.org/wiki/Lupinus littoralis,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,,,False,False,False,False,2308,https://inaturalist-open-data.s3.amazonaws.com/photos/169172991/medium.jpg,"[None, None, None, None, None]",Plantae
55345,Acacia baileyana,Cootamundra wattle,species,"<i><b>Acacia baileyana</b></i> or <b>Cootamundra wattle</b> is a shrub or tree in the genus <i>Acacia</i>. The scientific name of the species honours the botanist Frederick Manson Bailey. It is indigenous to a small area of southern New South Wales in Australia, but it has been widely planted in other Australian states and territories. In many areas of Victoria, it has become naturalised and is regarded as a weed, outcompeting indigenous Victorian species.",https://en.wikipedia.org/wiki/Acacia baileyana,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,False,False,False,False,6223,https://inaturalist-open-data.s3.amazonaws.com/photos/224675585/medium.jpg,"[None, None, None, None, None]",Plantae
290877,Yucca rostrata,Beaked Yucca,species,"<i><b>Yucca rostrata</b></i> also called <b>beaked yucca</b>, is a tree-like plant belonging to the genus <i>Yucca</i>. The species is native to Texas, Chihuahua and Coahuila.",https://en.wikipedia.org/wiki/Yucca rostrata,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,,,False,False,False,False,861,https://inaturalist-open-data.s3.amazonaws.com/photos/174838876/medium.jpeg,"[None, None, None, None, None]",Plantae
131133,Prosopis cineraria,Indian mesquite,species,"<i><b>Prosopis cineraria</b></i> is a species of flowering tree in the pea family, Fabaceae. It is native to arid portions of Western Asia and the Indian Subcontinent, including Afghanistan, Iran, India, Oman, Pakistan, Saudi Arabia, the United Arab Emirates, and Yemen. It is an established introduced species in parts of Southeast Asia, including Indonesia.",https://en.wikipedia.org/wiki/Prosopis cineraria,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,,,False,False,False,False,1263,https://inaturalist-open-data.s3.amazonaws.com/photos/90421916/medium.jpeg,"[None, None, None, None, None]",Plantae
59454,Eremalche rotundifolia,desert fivespot,species,"<i><b>Eremalche rotundifolia</b></i>, the <b>Desert five-spot</b>, is a flowering plant in the family Malvaceae, native to the Mojave Desert and Colorado Desert in the Southwestern United States.",https://en.wikipedia.org/wiki/Eremalche rotundifolia,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Eremalche,,,False,False,False,False,2993,https://inaturalist-open-data.s3.amazonaws.com/photos/13138/medium.jpg,"[None, None, None, None, None]",Plantae
290889,Agave tequilana,Tequila Agave,species,"<i><b>Agave tequilana</b></i>, commonly called <b>blue agave</b> (<b><i>agave azul</i></b>) or <b>tequila agave</b>, is an agave plant that is an important economic product of Jalisco, Mexico, due to its role as the base ingredient of tequila, a popular distilled beverage. The high production of sugars, mostly fructose, in the core of the plant is the main characteristic that makes it suitable for the preparation of alcoholic beverages.",https://en.wikipedia.org/wiki/Agave tequilana,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,,,False,False,False,False,3097,https://inaturalist-open-data.s3.amazonaws.com/photos/9292297/medium.jpg,"[None, None, None, None, None]",Plantae
290893,Yucca valida,datilillo yucca,species,"<i><b>Yucca valida</b></i> is a plant species in the family Asparagaceae, native to the Mexican states of Baja California, Baja California Sur, Sonora, and Sinaloa. The common name is <b>datilillo</b>....",https://en.wikipedia.org/wiki/Yucca valida,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,,,False,False,False,False,753,https://inaturalist-open-data.s3.amazonaws.com/photos/14396382/medium.jpg,"[None, None, None, None]",Plantae
75856,Bouteloua aristidoides,Needle Grama,species,"<i><b>Bouteloua aristidoides</b></i>, the <b>needle grama</b>, is an annual desert grass (Poaceae) found in California and western North America.",https://en.wikipedia.org/wiki/Bouteloua aristidoides,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bouteloua,,,False,False,False,False,1051,https://inaturalist-open-data.s3.amazonaws.com/photos/246897173/medium.jpeg,"[None, None, None, None, None]",Plantae
75857,Bouteloua barbata,Sixweeks Grama,species,"<i><b>Bouteloua barbata</b></i> is a species of grass known by the common name <b>six-weeks grama</b>. It is native to North America, where it occurs in the southwestern United States and south to Oaxaca in southern Mexico. It may occur in Montana. It is also present in Argentina.",https://en.wikipedia.org/wiki/Bouteloua barbata,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bouteloua,,,False,False,False,False,1668,https://inaturalist-open-data.s3.amazonaws.com/photos/11002462/medium.jpg,"[None, None, None, None, None]",Plantae
75858,Bouteloua curtipendula,Sideoats Grama,species,"<i><b>Bouteloua curtipendula</b></i>, commonly known as <b>sideoats grama</b>, is a perennial, short prairie grass that is native throughout the temperate and tropical Western Hemisphere, from Canada south to Argentina.",https://en.wikipedia.org/wiki/Bouteloua curtipendula,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bouteloua,,,False,False,False,False,15224,https://inaturalist-open-data.s3.amazonaws.com/photos/5329132/medium.jpeg,"[None, None, None, None, None]",Plantae
75859,Bouteloua eriopoda,Black Grama,species,"<i><b>Bouteloua eriopoda</b></i>, commonly known as <b>black grama</b>, is a perennial prairie grass that is native to the Southwestern United States. Its main means of reproduction is by stolons, as its ratio of viable seeds to sterile ones is naturally low. The disparity may play a role in its lack of tolerance to overgrazing (relative to other grasses), but aside from this <i>B. eriopoda</i> is a good forage food for livestock.",https://en.wikipedia.org/wiki/Bouteloua eriopoda,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bouteloua,,,False,False,False,False,487,https://inaturalist-open-data.s3.amazonaws.com/photos/234071222/medium.jpg,"[None, None, None, None, None]",Plantae
75861,Bouteloua trifida,Red Grama,species,"<i><b>Bouteloua trifida</b></i> is a species of grass known by the common name <b>red grama</b>. It is native to central and northern Mexico and the Southwestern United States, where it grows in desert scrub and other dry areas.",https://en.wikipedia.org/wiki/Bouteloua trifida,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bouteloua,,,False,False,False,False,539,https://inaturalist-open-data.s3.amazonaws.com/photos/105355993/medium.jpeg,"[None, None, None, None, None]",Plantae
211038,Fouquieria diguetii,Adam's tree,species,"<i><b>Fouquieria diguetii</b></i>, known by the common names <b>Adam's tree</b> and <b>palo Adán</b>, is a plant in the family Fouquieriaceae native to the southern half of the Baja California Peninsula, and the coasts of Sonora and Sinaloa. It is a semi-succulent and deciduous plant related to the ocotillo and the Boojum tree. It is distinguished by its bright red, tubular flowers, a shrub to small tree habit, and conical, paniculate inflorescences.",https://en.wikipedia.org/wiki/Fouquieria diguetii,Plantae,Tracheophyta,Magnoliopsida,Ericales,Fouquieriaceae,Fouquieria,VU,IUCN Red List,False,False,False,False,2529,https://inaturalist-open-data.s3.amazonaws.com/photos/192549981/medium.jpeg,"[None, None, None, None, None]",Plantae
217183,Clematodes larreae,,species,"<i><b>Clematodes larreae</b></i>, the <b>gray creosotebush grasshopper</b>, is a species of short-horned grasshopper in the family Acrididae. It is found in North America.",https://en.wikipedia.org/wiki/Clematodes larreae,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Clematodes,,,False,False,False,False,63,https://inaturalist-open-data.s3.amazonaws.com/photos/56041864/medium.jpeg,"[None, None, None, None, None]",Insecta
870496,Homalocephala texensis,Horse Crippler Cactus,species,<i><b>Echinocactus texensis</b></i> (also known as the <b>horse crippler</b> or <b>devil's pincushion</b>) is a cactus in the subfamily Cactoideae. It is endemic to the United States and Mexico. It has one synonym.,https://en.wikipedia.org/wiki/Homalocephala texensis,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Homalocephala,,,False,False,False,False,4959,https://inaturalist-open-data.s3.amazonaws.com/photos/232972/medium.jpg,"[None, None, None, None, None]",Plantae
