id,type,source,title,content,content_length,meta_scientific_name,meta_common_name,meta_family,meta_genus,meta_native,meta_conservation_status,meta_wikipedia_url,meta_observations_count
species_165891,species,iNaturalist,prairie pricklypear (Opuntia macrorhiza),"# prairie pricklypear
*Opuntia macrorhiza*

**Taxonomy:** Family: Cactaceae, Genus: Opuntia

## Description
Opuntia macrorhiza is a common and widespread species of cactus with the common names plains prickly pear or twistspine pricklypear or Western pricklypear. It is found throughout the Great Plains of the United States, from Texas to Minnesota, as well as in the desert and Rocky Mountain states from Arizona to Idaho, with sporadic populations in the Mississippi and Ohio Valleys. It is also reported from northern Mexico, in the states of Chihuahua, Sonora, Coahuila, Nuevo...

*9617 observations recorded in Arizona*
",626,Opuntia macrorhiza,prairie pricklypear,Cactaceae,Opuntia,False,,https://en.wikipedia.org/wiki/Opuntia macrorhiza,9617
species_202757,species,iNaturalist,Christmas cholla (Cylindropuntia leptocaulis),"# Christmas cholla
*Cylindropuntia leptocaulis*

**Taxonomy:** Family: Cactaceae, Genus: Cylindropuntia

## Description
Cylindropuntia leptocaulis, the desert Christmas cactus, desert Christmas cholla, or tasajillo, is a cactus.

*20642 observations recorded in Arizona*
",271,Cylindropuntia leptocaulis,Christmas cholla,Cactaceae,Cylindropuntia,False,,https://en.wikipedia.org/wiki/Cylindropuntia leptocaulis,20642
species_274441,species,iNaturalist,Thistle Cholla (Cylindropuntia tunicata),"# Thistle Cholla
*Cylindropuntia tunicata*

**Taxonomy:** Family: Cactaceae, Genus: Cylindropuntia

## Description
Cylindropuntia tunicata, commonly referred to as sheathed cholla, is a cholla native to the Chihuahuan Desert of North America and parts of South America.

*1631 observations recorded in Arizona*
",311,Cylindropuntia tunicata,Thistle Cholla,Cactaceae,Cylindropuntia,False,,https://en.wikipedia.org/wiki/Cylindropuntia tunicata,1631
species_290831,species,iNaturalist,tree yucca (Yucca filifera),"# tree yucca
*Yucca filifera*

**Taxonomy:** Family: Asparagaceae, Genus: Yucca

## Description
Yucca filifera is a member of the Asparagaceae family subfamily Agavaceae native to central Mexico.

*3545 observations recorded in Arizona*
",237,Yucca filifera,tree yucca,Asparagaceae,Yucca,False,,https://en.wikipedia.org/wiki/Yucca filifera,3545
species_165906,species,iNaturalist,Woollyjoint Pricklypear (Opuntia tomentosa),"# Woollyjoint Pricklypear
*Opuntia tomentosa*

**Taxonomy:** Family: Cactaceae, Genus: Opuntia

## Description
Opuntia tomentosa, commonly called woollyjoint pricklypear or velvety tree pear, is a species of Opuntia found in Mexico

*5334 observations recorded in Arizona*
",273,Opuntia tomentosa,Woollyjoint Pricklypear,Cactaceae,Opuntia,False,,https://en.wikipedia.org/wiki/Opuntia tomentosa,5334
species_243733,species,iNaturalist,Dune Wattle (Acacia ligulata),"# Dune Wattle
*Acacia ligulata*

**Taxonomy:** Family: Fabaceae, Genus: Acacia

## Description
Acacia ligulata is a species of Acacia, a dense shrub widespread in all states of mainland Australia. It is not considered rare or endangered.

*980 observations recorded in Arizona*
",278,Acacia ligulata,Dune Wattle,Fabaceae,Acacia,False,,https://en.wikipedia.org/wiki/Acacia ligulata,980
species_81942,species,iNaturalist,foxglove beardtongue (Penstemon digitalis),"# foxglove beardtongue
*Penstemon digitalis*

**Taxonomy:** Family: Plantaginaceae, Genus: Penstemon

## Description
Penstemon digitalis (foxglove beard-tongue, foxglove beardtongue, or talus slope penstemon) is a plant in the plantain family, Plantaginaceae. The flowers are white and are borne in summer. It is native to eastern Canada and eastern and southeastern United States.

*30219 observations recorded in Arizona*
",424,Penstemon digitalis,foxglove beardtongue,Plantaginaceae,Penstemon,False,,https://en.wikipedia.org/wiki/Penstemon digitalis,30219
species_290852,species,iNaturalist,mountain yucca (Yucca madrensis),"# mountain yucca
*Yucca madrensis*

**Taxonomy:** Family: Asparagaceae, Genus: Yucca

## Description
Yucca madrensis H. S. Gentry is a plant in the genus Yucca in the family Asparagaceae. It is native to a mountainous region in the Sierra Madre Occidental in the Mexican states of Sonora and Chihuahua. It has also been reported from Arizona It grows on steep, rocky slopes in pine-oak forests.

*1521 observations recorded in Arizona*
",436,Yucca madrensis,mountain yucca,Asparagaceae,Yucca,False,,https://en.wikipedia.org/wiki/Yucca madrensis,1521
species_81962,species,iNaturalist,Narrowleaf Yucca (Yucca angustissima),"# Narrowleaf Yucca
*Yucca angustissima*

**Taxonomy:** Family: Asparagaceae, Genus: Yucca

## Description
Yucca angustissima, the narrowleaf yucca, is a plant in the family Agavaceae, known as the ""narrow-leaved yucca."" It is native to Arizona, New Mexico, Colorado and Utah, but grown elsewhere as an ornamental.

*3693 observations recorded in Arizona*
",355,Yucca angustissima,Narrowleaf Yucca,Asparagaceae,Yucca,False,,https://en.wikipedia.org/wiki/Yucca angustissima,3693
species_77872,species,iNaturalist,Seashore Lupine (Lupinus littoralis),"# Seashore Lupine
*Lupinus littoralis*

**Taxonomy:** Family: Fabaceae, Genus: Lupinus

## Description
Lupinus littoralis is a species of lupine known by the common name seashore lupine. It is native to the coastline of western North America from British Columbia to northern California, where it grows in sandy habitat. It is a low perennial herb or subshrub growing in a clump or mat no more than 30 centimetres (12 in) tall. Each palmate leaf is divided into 5 to 9 leaflets up to 3.5 centimetres (1.4 in) long. The herbage is...

*2308 observations recorded in Arizona*
",574,Lupinus littoralis,Seashore Lupine,Fabaceae,Lupinus,False,,https://en.wikipedia.org/wiki/Lupinus littoralis,2308
species_55345,species,iNaturalist,Cootamundra wattle (Acacia baileyana),"# Cootamundra wattle
*Acacia baileyana*

**Taxonomy:** Family: Fabaceae, Genus: Acacia

## Description
Acacia baileyana or Cootamundra wattle is a shrub or tree in the genus Acacia. The scientific name of the species honours the botanist Frederick Manson Bailey. It is indigenous to a small area of southern New South Wales in Australia, but it has been widely planted in other Australian states and territories. In many areas of Victoria, it has become naturalised and is regarded as a weed, outcompeting indigenous Victorian species.

*6223 observations recorded in Arizona*
",577,Acacia baileyana,Cootamundra wattle,Fabaceae,Acacia,False,,https://en.wikipedia.org/wiki/Acacia baileyana,6223
species_290877,species,iNaturalist,Beaked Yucca (Yucca rostrata),"# Beaked Yucca
*Yucca rostrata*

**Taxonomy:** Family: Asparagaceae, Genus: Yucca

## Description
Yucca rostrata also called beaked yucca, is a tree-like plant belonging to the genus Yucca. The species is native to Texas, Chihuahua and Coahuila.

*861 observations recorded in Arizona*
",286,Yucca rostrata,Beaked Yucca,Asparagaceae,Yucca,False,,https://en.wikipedia.org/wiki/Yucca rostrata,861
species_131133,species,iNaturalist,Indian mesquite (Prosopis cineraria),"# Indian mesquite
*Prosopis cineraria*

**Taxonomy:** Family: Fabaceae, Genus: Prosopis

## Description
Prosopis cineraria is a species of flowering tree in the pea family, Fabaceae. It is native to arid portions of Western Asia and the Indian Subcontinent, including Afghanistan, Iran, India, Oman, Pakistan, Saudi Arabia, the United Arab Emirates, and Yemen. It is an established introduced species in parts of Southeast Asia, including Indonesia.

*1263 observations recorded in Arizona*
",491,Prosopis cineraria,Indian mesquite,Fabaceae,Prosopis,False,,https://en.wikipedia.org/wiki/Prosopis cineraria,1263
species_59454,species,iNaturalist,desert fivespot (Eremalche rotundifolia),"# desert fivespot
*Eremalche rotundifolia*

**Taxonomy:** Family: Malvaceae, Genus: Eremalche

## Description
Eremalche rotundifolia, the Desert five-spot, is a flowering plant in the family Malvaceae, native to the Mojave Desert and Colorado Desert in the Southwestern United States.

*2993 observations recorded in Arizona*
",326,Eremalche rotundifolia,desert fivespot,Malvaceae,Eremalche,False,,https://en.wikipedia.org/wiki/Eremalche rotundifolia,2993
species_290889,species,iNaturalist,Tequila Agave (Agave tequilana),"# Tequila Agave
*Agave tequilana*

**Taxonomy:** Family: Asparagaceae, Genus: Agave

## Description
Agave tequilana, commonly called blue agave (agave azul) or tequila agave, is an agave plant that is an important economic product of Jalisco, Mexico, due to its role as the base ingredient of tequila, a popular distilled beverage. The high production of sugars, mostly fructose, in the core of the plant is the main characteristic that makes it suitable for the preparation of alcoholic beverages.

*3097 observations recorded in Arizona*
",540,Agave tequilana,Tequila Agave,Asparagaceae,Agave,False,,https://en.wikipedia.org/wiki/Agave tequilana,3097
species_290893,species,iNaturalist,datilillo yucca (Yucca valida),"# datilillo yucca
*Yucca valida*

**Taxonomy:** Family: Asparagaceae, Genus: Yucca

## Description
Yucca valida is a plant species in the family Asparagaceae, native to the Mexican states of Baja California, Baja California Sur, Sonora, and Sinaloa. The common name is datilillo....

*753 observations recorded in Arizona*
",323,Yucca valida,datilillo yucca,Asparagaceae,Yucca,False,,https://en.wikipedia.org/wiki/Yucca valida,753
species_75856,species,iNaturalist,Needle Grama (Bouteloua aristidoides),"# Needle Grama
*Bouteloua aristidoides*

**Taxonomy:** Family: Poaceae, Genus: Bouteloua

## Description
Bouteloua aristidoides, the needle grama, is an annual desert grass (Poaceae) found in California and western North America.

*1051 observations recorded in Arizona*
",271,Bouteloua aristidoides,Needle Grama,Poaceae,Bouteloua,False,,https://en.wikipedia.org/wiki/Bouteloua aristidoides,1051
species_75857,species,iNaturalist,Sixweeks Grama (Bouteloua barbata),"# Sixweeks Grama
*Bouteloua barbata*

**Taxonomy:** Family: Poaceae, Genus: Bouteloua

## Description
Bouteloua barbata is a species of grass known by the common name six-weeks grama. It is native to North America, where it occurs in the southwestern United States and south to Oaxaca in southern Mexico. It may occur in Montana. It is also present in Argentina.

*1668 observations recorded in Arizona*
",404,Bouteloua barbata,Sixweeks Grama,Poaceae,Bouteloua,False,,https://en.wikipedia.org/wiki/Bouteloua barbata,1668
species_75858,species,iNaturalist,Sideoats Grama (Bouteloua curtipendula),"# Sideoats Grama
*Bouteloua curtipendula*

**Taxonomy:** Family: Poaceae, Genus: Bouteloua

## Description
Bouteloua curtipendula, commonly known as sideoats grama, is a perennial, short prairie grass that is native throughout the temperate and tropical Western Hemisphere, from Canada south to Argentina.

*15224 observations recorded in Arizona*
",348,Bouteloua curtipendula,Sideoats Grama,Poaceae,Bouteloua,False,,https://en.wikipedia.org/wiki/Bouteloua curtipendula,15224
species_75859,species,iNaturalist,Black Grama (Bouteloua eriopoda),"# Black Grama
*Bouteloua eriopoda*

**Taxonomy:** Family: Poaceae, Genus: Bouteloua

## Description
Bouteloua eriopoda, commonly known as black grama, is a perennial prairie grass that is native to the Southwestern United States. Its main means of reproduction is by stolons, as its ratio of viable seeds to sterile ones is naturally low. The disparity may play a role in its lack of tolerance to overgrazing (relative to other grasses), but aside from this B. eriopoda is a good forage food for livestock.

*487 observations recorded in Arizona*
",547,Bouteloua eriopoda,Black Grama,Poaceae,Bouteloua,False,,https://en.wikipedia.org/wiki/Bouteloua eriopoda,487
species_75861,species,iNaturalist,Red Grama (Bouteloua trifida),"# Red Grama
*Bouteloua trifida*

**Taxonomy:** Family: Poaceae, Genus: Bouteloua

## Description
Bouteloua trifida is a species of grass known by the common name red grama. It is native to central and northern Mexico and the Southwestern United States, where it grows in desert scrub and other dry areas.

*539 observations recorded in Arizona*
",345,Bouteloua trifida,Red Grama,Poaceae,Bouteloua,False,,https://en.wikipedia.org/wiki/Bouteloua trifida,539
species_211038,species,iNaturalist,Adam's tree (Fouquieria diguetii),"# Adam's tree
*Fouquieria diguetii*

**Taxonomy:** Family: Fouquieriaceae, Genus: Fouquieria

## Description
Fouquieria diguetii, known by the common names Adam's tree and palo Adán, is a plant in the family Fouquieriaceae native to the southern half of the Baja California Peninsula, and the coasts of Sonora and Sinaloa. It is a semi-succulent and deciduous plant related to the ocotillo and the Boojum tree. It is distinguished by its bright red, tubular flowers, a shrub to small tree habit, and conical, paniculate inflorescences.

**Status:** Conservation Status: VU

*2529 observations recorded in Arizona*
",614,Fouquieria diguetii,Adam's tree,Fouquieriaceae,Fouquieria,False,VU,https://en.wikipedia.org/wiki/Fouquieria diguetii,2529
